,customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy_level,renew_offer_type,sales_channel,vehicle_class,vehicle_size,number_of_open_complaints,number_of_policies
385,JP30654,Oregon,No,Basic,College,2011-02-24,Employed,F,Suburban,Single,Personal Auto,3,Offer3,Agent,SUV,Medsize,0,2
386,RA66180,Washington,No,Basic,High School or Below,2011-01-10,Employed,F,Urban,Married,Corporate Auto,2,Offer1,Branch,Two-Door Car,Medsize,4,1
387,EN60878,Oregon,No,Extended,Bachelor,2011-02-13,Disabled,M,Urban,Single,Personal Auto,2,Offer1,Branch,Four-Door Car,Medsize,0,3
388,JF36291,California,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,3,Offer2,Agent,Sports Car,Medsize,0,1
389,BK59444,California,No,Basic,Master,2011-02-05,Employed,F,Rural,Single,Personal Auto,2,Offer2,Branch,Four-Door Car,Medsize,0,2
390,MK70700,California,No,Basic,Master,2011-01-07,Employed,M,Urban,Married,Personal Auto,1,Offer2,Branch,Four-Door Car,Medsize,0,3
391,IW71076,California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Married,Corporate Auto,3,Offer2,Agent,Four-Door Car,Large,0,5
392,AP98768,California,No,Extended,College,2011-01-08,Unemployed,F,Suburban,Single,Personal Auto,1,Offer1,Agent,Four-Door Car,Small,0,2
393,OM24164,Nevada,No,Basic,Bachelor,2011-01-06,Unemployed,M,Suburban,Single,Personal Auto,2,Offer1,Agent,Two-Door Car,Medsize,1,1
394,QP84605,Washington,No,Premium,Bachelor,2011-02-03,Employed,F,Rural,Divorced,Corporate Auto,1,Offer1,Call Center,Four-Door Car,Medsize,0,3
395,VC87846,Oregon,No,Extended,High School or Below,2011-01-20,Employed,M,Suburban,Divorced,Corporate Auto,3,Offer3,Agent,Four-Door Car,Medsize,0,6
396,ZM92052,Oregon,No,Basic,Bachelor,2011-02-23,Employed,M,Rural,Single,Personal Auto,2,Offer3,Agent,Two-Door Car,Small,0,1
397,ON73702,Arizona,No,Basic,Bachelor,2011-01-26,Employed,F,Urban,Married,Corporate Auto,3,Offer1,Agent,SUV,Small,0,8
398,QQ90441,Nevada,Yes,Premium,High School or Below,2011-02-01,Employed,F,Suburban,Single,Personal Auto,1,Offer1,Agent,Four-Door Car,Medsize,0,2
399,HU35721,Oregon,No,Basic,High School or Below,2011-02-14,Employed,M,Suburban,Divorced,Personal Auto,3,Offer4,Agent,Four-Door Car,Medsize,0,1
400,XH85336,Washington,Yes,Basic,Bachelor,2011-01-13,Employed,M,Suburban,Divorced,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,9
401,ZH17561,Washington,No,Extended,Bachelor,2011-01-24,Medical Leave,F,Suburban,Divorced,Corporate Auto,2,Offer1,Branch,SUV,Medsize,0,1
402,AG85615,Oregon,No,Extended,College,2011-01-17,Unemployed,M,Suburban,Single,Special Auto,1,Offer1,Web,Four-Door Car,Medsize,0,2
403,OY74069,Arizona,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,2,Offer4,Call Center,Four-Door Car,Medsize,5,7
404,DJ91267,Nevada,No,Extended,Bachelor,2011-02-18,Employed,F,Rural,Married,Personal Auto,3,Offer1,Agent,Luxury SUV,Small,0,2
405,KB72438,California,No,Extended,High School or Below,2011-01-06,Employed,F,Rural,Married,Personal Auto,3,Offer3,Call Center,SUV,Medsize,1,2
406,TR67616,Oregon,No,Basic,High School or Below,2011-01-14,Employed,M,Rural,Single,Corporate Auto,3,Offer2,Web,Four-Door Car,Medsize,0,3
407,GF65731,California,No,Basic,Master,2011-02-06,Unemployed,F,Suburban,Married,Personal Auto,3,Offer1,Call Center,Sports Car,Large,0,2
408,HB67642,Arizona,Yes,Basic,High School or Below,2011-01-14,Employed,F,Suburban,Married,Personal Auto,1,Offer2,Agent,Sports Car,Medsize,0,2
409,DP84567,California,No,Basic,High School or Below,2011-01-24,Unemployed,M,Suburban,Married,Personal Auto,1,Offer3,Agent,Luxury SUV,Large,0,2
410,VV77534,Oregon,No,Premium,College,2011-01-26,Employed,M,Urban,Married,Personal Auto,3,Offer3,Call Center,SUV,Medsize,0,5
411,GL67540,California,No,Basic,College,2011-01-15,Employed,F,Urban,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,6
412,SV50502,Oregon,No,Basic,Master,2011-01-22,Employed,F,Suburban,Married,Corporate Auto,2,Offer4,Branch,Four-Door Car,Medsize,0,4
413,UK59698,California,No,Basic,High School or Below,2011-02-09,Unemployed,F,Suburban,Divorced,Personal Auto,3,Offer3,Branch,Two-Door Car,Medsize,0,1
414,OA57352,Arizona,Yes,Extended,College,2011-02-16,Retired,F,Suburban,Divorced,Personal Auto,2,Offer1,Branch,Four-Door Car,Medsize,0,6
415,ZF84449,Oregon,No,Basic,College,2011-02-26,Unemployed,F,Suburban,Single,Special Auto,1,Offer1,Agent,Sports Car,Medsize,1,1
416,VH31965,Washington,No,Basic,Bachelor,2011-01-24,Employed,M,Suburban,Married,Personal Auto,1,Offer1,Call Center,Four-Door Car,Medsize,1,9
417,HG39060,Oregon,No,Basic,Bachelor,2011-01-28,Unemployed,M,Suburban,Single,Corporate Auto,2,Offer1,Call Center,Four-Door Car,Medsize,0,4
418,EM29359,Nevada,No,Basic,College,2011-02-03,Medical Leave,M,Suburban,Married,Personal Auto,1,Offer2,Web,Luxury Car,Large,0,1
419,SF57173,Oregon,No,Basic,Master,2011-01-27,Employed,M,Suburban,Married,Personal Auto,3,Offer4,Agent,SUV,Medsize,0,1
420,OT47603,Oregon,No,Extended,College,2011-02-04,Unemployed,M,Suburban,Married,Personal Auto,2,Offer2,Agent,Sports Car,Medsize,0,3
421,SW31412,Oregon,No,Basic,College,2011-02-22,Employed,F,Suburban,Married,Personal Auto,3,Offer3,Agent,Four-Door Car,Small,1,2
422,JS36322,Arizona,No,Extended,High School or Below,2011-01-19,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Sports Car,Small,1,8
423,RE81445,Oregon,No,Basic,College,2011-01-05,Employed,F,Rural,Married,Personal Auto,2,Offer3,Branch,Two-Door Car,Medsize,0,3
424,RM24280,Oregon,No,Premium,High School or Below,2011-02-03,Unemployed,F,Suburban,Married,Personal Auto,2,Offer3,Agent,Four-Door Car,Medsize,0,1
425,LC25393,California,No,Extended,Bachelor,2011-01-18,Employed,M,Rural,Married,Personal Auto,3,Offer1,Call Center,Luxury Car,Small,0,2
426,UX38930,Arizona,No,Extended,Master,2011-01-09,Employed,F,Urban,Married,Personal Auto,3,Offer2,Branch,SUV,Medsize,0,3
427,HD95496,Oregon,No,Basic,Master,2011-02-03,Employed,M,Urban,Married,Personal Auto,1,Offer4,Agent,Two-Door Car,Medsize,0,2
428,RX24650,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Corporate Auto,3,Offer2,Agent,SUV,Medsize,0,1
429,DW19309,Oregon,No,Premium,High School or Below,2011-01-08,Employed,M,Suburban,Married,Corporate Auto,1,Offer1,Agent,SUV,Medsize,0,7
430,EG48956,Washington,No,Basic,College,2011-02-07,Unemployed,M,Suburban,Married,Personal Auto,2,Offer2,Call Center,Two-Door Car,Large,3,3
431,UF88986,Washington,No,Basic,College,2011-01-22,Employed,F,Suburban,Single,Personal Auto,1,Offer1,Branch,Two-Door Car,Medsize,0,1
432,DB42794,California,Yes,Premium,College,2011-01-03,Employed,M,Suburban,Married,Personal Auto,1,Offer2,Branch,Four-Door Car,Medsize,0,1
433,JB50798,Oregon,No,Extended,Master,2011-01-20,Employed,F,Suburban,Single,Corporate Auto,3,Offer2,Agent,Sports Car,Medsize,2,6
434,JY45873,Washington,Yes,Extended,Bachelor,2011-02-03,Employed,F,Suburban,Single,Corporate Auto,2,Offer2,Agent,SUV,Medsize,0,1
435,TE35785,California,No,Basic,Doctor,2011-02-07,Unemployed,M,Suburban,Married,Personal Auto,3,Offer1,Branch,Luxury SUV,Large,2,1
436,CM55703,Washington,No,Basic,College,2011-02-09,Employed,F,Suburban,Divorced,Personal Auto,3,Offer1,Agent,Two-Door Car,Medsize,1,1
437,QN65180,Oregon,No,Extended,Bachelor,2011-02-26,Employed,F,Rural,Married,Personal Auto,1,Offer3,Call Center,Four-Door Car,Large,0,2
438,GE47180,Nevada,No,Basic,High School or Below,2011-02-14,Employed,M,Rural,Married,Personal Auto,3,Offer3,Agent,Sports Car,Medsize,0,3
439,VQ38776,Oregon,No,Extended,College,2011-01-02,Unemployed,F,Suburban,Single,Personal Auto,3,Offer2,Agent,Four-Door Car,Large,0,3
440,ZY90118,Washington,No,Premium,College,2011-01-03,Medical Leave,M,Suburban,Married,Corporate Auto,1,Offer1,Call Center,Four-Door Car,Small,1,1
441,IN17648,Nevada,No,Basic,High School or Below,2011-02-27,Unemployed,M,Suburban,Single,Personal Auto,1,Offer1,Agent,Two-Door Car,Medsize,0,7
442,DF95759,Oregon,No,Extended,College,2011-01-15,Unemployed,M,Suburban,Married,Personal Auto,3,Offer2,Agent,SUV,Medsize,0,6
443,QG45324,Oregon,No,Basic,High School or Below,2011-01-02,Unemployed,F,Suburban,Married,Personal Auto,2,Offer1,Agent,Four-Door Car,Medsize,0,2
444,MN61620,Arizona,No,Extended,College,2011-01-31,Employed,F,Rural,Single,Personal Auto,2,Offer1,Web,Sports Car,Small,4,9
445,YH86390,California,No,Basic,Bachelor,2011-01-16,Disabled,F,Suburban,Divorced,Corporate Auto,3,Offer2,Agent,Four-Door Car,Medsize,0,6
446,FY13480,California,No,Extended,High School or Below,2011-02-18,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Web,Four-Door Car,Medsize,0,4
447,YH61661,California,No,Basic,High School or Below,2011-01-02,Employed,M,Suburban,Married,Special Auto,1,Offer2,Branch,SUV,Medsize,0,3
448,NL93182,Nevada,No,Extended,Bachelor,2011-01-20,Unemployed,M,Suburban,Single,Corporate Auto,3,Offer2,Web,Four-Door Car,Small,0,1
449,UM45563,Washington,No,Basic,Bachelor,2011-01-27,Employed,M,Rural,Single,Personal Auto,2,Offer2,Call Center,SUV,Medsize,0,1
450,WE68644,Oregon,No,Basic,Bachelor,2011-01-26,Medical Leave,F,Suburban,Married,Personal Auto,3,Offer1,Branch,Sports Car,Medsize,0,1
451,EZ30498,Oregon,No,Basic,Bachelor,2011-02-15,Medical Leave,M,Suburban,Married,Personal Auto,3,Offer1,Web,SUV,Medsize,0,6
452,QY74517,Oregon,No,Basic,High School or Below,2011-01-07,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Branch,Four-Door Car,Large,0,4
453,NM88660,Nevada,No,Extended,Master,2011-01-10,Employed,M,Rural,Single,Corporate Auto,2,Offer1,Agent,Four-Door Car,Small,0,1
454,MZ82036,Nevada,No,Basic,College,2011-02-20,Employed,M,Suburban,Divorced,Personal Auto,1,Offer2,Branch,Four-Door Car,Medsize,0,6
455,ID20929,Oregon,No,Basic,Bachelor,2011-01-18,Medical Leave,M,Suburban,Divorced,Corporate Auto,1,Offer1,Branch,Four-Door Car,Medsize,0,1
456,EY50028,Nevada,No,Extended,Doctor,2011-01-24,Unemployed,M,Urban,Married,Corporate Auto,3,Offer2,Agent,Two-Door Car,Medsize,0,1
457,TT82373,California,No,Extended,Bachelor,2011-01-08,Employed,F,Suburban,Married,Personal Auto,2,Offer1,Branch,Sports Car,Medsize,0,4
458,OH64088,California,No,Basic,High School or Below,2011-02-09,Employed,M,Suburban,Single,Corporate Auto,1,Offer1,Agent,Four-Door Car,Medsize,0,2
459,SK97780,California,No,Extended,Bachelor,2011-02-16,Medical Leave,F,Urban,Married,Corporate Auto,3,Offer1,Branch,Two-Door Car,Large,0,2
460,IO33050,Oregon,No,Basic,High School or Below,2011-01-10,Employed,F,Urban,Divorced,Personal Auto,3,Offer1,Call Center,Four-Door Car,Medsize,1,3
461,XA55917,California,No,Basic,College,2011-02-28,Disabled,F,Suburban,Married,Personal Auto,1,Offer1,Web,SUV,Medsize,1,9
462,JK32620,Nevada,No,Basic,College,2011-01-22,Unemployed,M,Suburban,Single,Personal Auto,3,Offer2,Web,Four-Door Car,Medsize,0,1
463,RQ19236,Arizona,No,Basic,Doctor,2011-01-05,Employed,M,Urban,Married,Personal Auto,2,Offer2,Web,Sports Car,Medsize,0,4
464,QC47433,Oregon,No,Basic,College,2011-01-21,Medical Leave,M,Suburban,Married,Personal Auto,2,Offer2,Branch,Four-Door Car,Small,0,1
465,RA93608,Oregon,No,Extended,Bachelor,2011-01-24,Employed,M,Suburban,Married,Personal Auto,2,Offer1,Agent,Two-Door Car,Small,1,2
466,XH97711,California,No,Basic,Bachelor,2011-01-14,Employed,M,Urban,Married,Corporate Auto,3,Offer4,Agent,Four-Door Car,Medsize,0,1
467,AU96286,Oregon,No,Extended,Bachelor,2011-01-19,Unemployed,F,Suburban,Single,Corporate Auto,1,Offer4,Web,Four-Door Car,Medsize,0,1
468,KC17170,Arizona,No,Basic,Bachelor,2011-01-31,Employed,F,Rural,Married,Corporate Auto,3,Offer1,Branch,Four-Door Car,Medsize,0,5
469,ZN47335,California,No,Extended,College,2011-02-16,Employed,M,Rural,Divorced,Corporate Auto,3,Offer1,Web,SUV,Small,0,9
470,EI46264,California,No,Basic,High School or Below,2011-01-12,Employed,M,Rural,Married,Personal Auto,2,Offer2,Branch,Four-Door Car,Medsize,2,1
471,EK87864,Arizona,No,Basic,College,2011-01-06,Employed,F,Rural,Married,Special Auto,2,Offer1,Agent,Four-Door Car,Medsize,0,1
472,GV45403,Arizona,No,Premium,Bachelor,2011-01-23,Unemployed,M,Suburban,Divorced,Corporate Auto,2,Offer1,Branch,Two-Door Car,Medsize,0,3
473,QK31192,Arizona,No,Premium,High School or Below,2011-02-18,Unemployed,M,Suburban,Married,Corporate Auto,2,Offer4,Branch,Two-Door Car,Medsize,0,1
474,LU89008,Arizona,No,Extended,College,2011-02-07,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,8
475,NS10490,Oregon,No,Basic,Bachelor,2011-02-26,Employed,F,Suburban,Married,Personal Auto,3,Offer2,Agent,Two-Door Car,Medsize,0,2
476,KL98495,Nevada,No,Basic,College,2011-01-05,Unemployed,M,Suburban,Married,Personal Auto,2,Offer1,Agent,Two-Door Car,Medsize,0,2
477,IU96845,Arizona,No,Extended,College,2011-02-10,Employed,M,Rural,Married,Personal Auto,3,Offer1,Call Center,Four-Door Car,Medsize,0,8
478,QL93655,Oregon,No,Extended,High School or Below,2011-01-12,Employed,F,Urban,Married,Personal Auto,3,Offer2,Agent,Two-Door Car,Medsize,0,2
479,QZ42725,Washington,No,Basic,Bachelor,2011-01-01,Unemployed,F,Suburban,Single,Personal Auto,3,Offer2,Agent,Four-Door Car,Medsize,0,1
480,LZ34046,Oregon,Yes,Basic,Bachelor,2011-01-31,Employed,M,Rural,Married,Personal Auto,1,Offer3,Agent,Four-Door Car,Medsize,0,2
481,ZH19885,Washington,Yes,Basic,High School or Below,2011-02-14,Employed,F,Rural,Single,Personal Auto,3,Offer2,Agent,Four-Door Car,Medsize,0,1
482,YE88490,Arizona,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Personal Auto,2,Offer1,Agent,Four-Door Car,Medsize,0,9
483,YC80498,California,Yes,Basic,College,2011-02-01,Medical Leave,F,Suburban,Single,Personal Auto,1,Offer1,Web,Two-Door Car,Medsize,0,4
484,AI85843,Arizona,No,Extended,Master,2011-01-06,Employed,F,Urban,Married,Personal Auto,3,Offer1,Branch,Four-Door Car,Medsize,2,9
485,XD66024,Arizona,No,Extended,College,2011-01-27,Unemployed,F,Suburban,Single,Personal Auto,3,Offer3,Call Center,Four-Door Car,Medsize,0,3
486,FY51713,Arizona,No,Extended,Bachelor,2011-01-07,Employed,F,Suburban,Married,Personal Auto,1,Offer1,Branch,Four-Door Car,Small,0,1
487,PH26378,California,No,Extended,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,4
488,WQ18638,Oregon,No,Basic,High School or Below,2011-02-25,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Agent,Two-Door Car,Small,0,3
489,KY14688,Oregon,No,Basic,Master,2011-01-03,Employed,F,Rural,Married,Personal Auto,1,Offer3,Branch,Four-Door Car,Large,0,1
490,TC97762,California,No,Basic,High School or Below,2011-02-27,Employed,F,Suburban,Married,Corporate Auto,3,Offer3,Branch,Four-Door Car,Medsize,0,5
491,QC87108,Oregon,No,Basic,College,2011-01-19,Employed,F,Suburban,Single,Personal Auto,3,Offer3,Web,Four-Door Car,Large,0,2
492,CX12134,Nevada,No,Premium,High School or Below,2011-01-31,Employed,M,Suburban,Single,Personal Auto,2,Offer2,Agent,Two-Door Car,Medsize,0,1
493,SM73248,Arizona,No,Extended,High School or Below,2011-01-21,Unemployed,M,Suburban,Single,Corporate Auto,1,Offer1,Agent,Two-Door Car,Medsize,1,2
494,CK19789,California,No,Basic,Master,2011-02-14,Employed,F,Rural,Married,Personal Auto,3,Offer4,Branch,Four-Door Car,Medsize,0,9
495,UV12583,California,No,Basic,College,2011-02-18,Employed,F,Suburban,Married,Personal Auto,1,Offer4,Agent,SUV,Medsize,0,1
496,JC11405,Oregon,Yes,Premium,High School or Below,2011-02-08,Employed,M,Suburban,Divorced,Personal Auto,3,Offer1,Agent,Luxury SUV,Medsize,0,1
497,KA89683,Arizona,No,Basic,High School or Below,2011-01-30,Unemployed,F,Suburban,Single,Personal Auto,1,Offer1,Branch,Four-Door Car,Small,0,1
498,BG85305,Nevada,No,Extended,Doctor,2011-01-28,Employed,M,Suburban,Single,Personal Auto,2,Offer2,Call Center,Four-Door Car,Medsize,1,1
499,UQ87917,Oregon,No,Basic,High School or Below,2011-01-24,Employed,M,Urban,Married,Personal Auto,2,Offer1,Branch,SUV,Medsize,0,2
500,XN11823,Nevada,No,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Single,Corporate Auto,2,Offer3,Web,Two-Door Car,Small,0,1
501,OS46571,California,No,Basic,High School or Below,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Branch,Four-Door Car,Small,0,2
502,PX17116,Nevada,No,Basic,College,2011-01-20,Unemployed,M,Suburban,Single,Corporate Auto,2,Offer1,Agent,SUV,Medsize,2,1
503,RP19541,Arizona,Yes,Basic,College,2011-02-03,Employed,M,Urban,Married,Personal Auto,3,Offer2,Web,Four-Door Car,Medsize,0,2
504,ZR25747,Oregon,No,Premium,College,2011-02-06,Employed,F,Suburban,Married,Corporate Auto,1,Offer3,Call Center,Two-Door Car,Medsize,0,4
505,NQ86532,California,No,Basic,High School or Below,2011-01-22,Medical Leave,M,Suburban,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,0,1
506,JY27336,Oregon,No,Basic,College,2011-02-22,Employed,F,Rural,Married,Corporate Auto,3,Offer2,Agent,SUV,Medsize,2,4
507,PB54378,Oregon,No,Basic,Doctor,2011-01-29,Medical Leave,F,Suburban,Married,Corporate Auto,2,Offer1,Branch,Four-Door Car,Medsize,0,2
508,SV38190,Nevada,No,Extended,Bachelor,2011-01-13,Employed,F,Suburban,Married,Personal Auto,2,Offer4,Branch,Four-Door Car,Medsize,0,5
509,CV24005,Oregon,No,Basic,High School or Below,2011-02-13,Employed,M,Suburban,Married,Corporate Auto,3,Offer2,Agent,Two-Door Car,Small,0,1
510,EX28656,Oregon,No,Premium,College,2011-02-10,Employed,F,Suburban,Divorced,Personal Auto,1,Offer2,Agent,Luxury SUV,Medsize,0,1
511,CF57022,Oregon,No,Extended,Bachelor,2011-01-26,Medical Leave,M,Suburban,Married,Personal Auto,1,Offer1,Branch,SUV,Small,0,5
512,GM16780,Oregon,No,Extended,College,2011-02-07,Employed,M,Rural,Single,Corporate Auto,3,Offer1,Call Center,Sports Car,Medsize,3,2
513,BX94438,California,No,Basic,High School or Below,2011-01-07,Unemployed,F,Suburban,Married,Corporate Auto,2,Offer1,Call Center,SUV,Medsize,0,8
514,RM41745,California,No,Premium,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,7
515,XR70252,California,No,Basic,High School or Below,2011-02-22,Unemployed,F,Suburban,Married,Personal Auto,2,Offer2,Web,Two-Door Car,Medsize,1,3
516,YH92099,Arizona,No,Extended,Bachelor,2011-01-16,Disabled,F,Suburban,Married,Special Auto,1,Offer1,Agent,Four-Door Car,Medsize,0,1
517,SG81493,Arizona,No,Premium,Bachelor,2011-01-01,Employed,M,Rural,Married,Corporate Auto,1,Offer2,Web,Four-Door Car,Medsize,0,1
518,ZX23819,Oregon,No,Basic,High School or Below,2011-02-10,Unemployed,F,Suburban,Single,Personal Auto,3,Offer2,Call Center,Two-Door Car,Large,0,2
519,FJ54907,Oregon,No,Basic,College,2011-01-09,Employed,F,Suburban,Married,Personal Auto,2,Offer2,Agent,Luxury SUV,Medsize,0,1
520,CU26127,California,No,Extended,Bachelor,2011-02-02,Employed,F,Urban,Single,Corporate Auto,2,Offer1,Branch,SUV,Medsize,0,2
521,YH60476,Oregon,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Corporate Auto,3,Offer2,Call Center,Four-Door Car,Medsize,0,8
522,ZZ97035,California,No,Extended,College,2011-02-01,Unemployed,M,Suburban,Single,Corporate Auto,1,Offer1,Branch,Luxury Car,Small,0,2
523,GE82737,Nevada,No,Extended,Bachelor,2011-02-14,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,3,5
524,KY21873,Arizona,No,Basic,College,2011-02-25,Unemployed,M,Rural,Married,Personal Auto,1,Offer3,Agent,Two-Door Car,Medsize,0,6
525,UA51318,Arizona,No,Basic,High School or Below,2011-02-17,Employed,F,Suburban,Single,Corporate Auto,1,Offer2,Web,Four-Door Car,Medsize,1,9
526,BV55014,Oregon,No,Basic,Bachelor,2011-02-08,Employed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Two-Door Car,Medsize,0,2
527,HX21307,Oregon,Yes,Basic,College,2011-02-25,Employed,M,Suburban,Divorced,Personal Auto,3,Offer1,Agent,Two-Door Car,Medsize,0,1
528,LQ68252,Oregon,No,Basic,High School or Below,2011-02-11,Retired,M,Suburban,Single,Personal Auto,2,Offer1,Web,SUV,Medsize,0,1
529,CR92802,California,Yes,Basic,Master,2011-01-03,Employed,F,Rural,Married,Special Auto,2,Offer2,Web,Four-Door Car,Large,1,1
530,SL35268,Arizona,No,Basic,College,2011-01-04,Employed,M,Urban,Married,Corporate Auto,3,Offer2,Web,Four-Door Car,Medsize,0,7
531,RD62882,Arizona,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,3,Offer1,Call Center,Two-Door Car,Large,0,5
532,JS42382,Oregon,No,Extended,Master,2011-01-27,Employed,M,Suburban,Married,Corporate Auto,3,Offer1,Agent,Four-Door Car,Small,0,4
533,BT30554,Arizona,No,Extended,Bachelor,2011-02-13,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Large,0,2
534,VP57424,Nevada,No,Extended,Bachelor,2011-01-08,Employed,F,Urban,Married,Personal Auto,2,Offer2,Agent,Four-Door Car,Small,0,6
535,VU19243,Arizona,No,Premium,High School or Below,2011-02-26,Medical Leave,F,Suburban,Divorced,Personal Auto,1,Offer3,Web,Four-Door Car,Medsize,0,1
536,TA82973,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Divorced,Personal Auto,3,Offer1,Call Center,SUV,Medsize,2,6
537,GK71720,Oregon,No,Extended,High School or Below,2011-01-16,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Call Center,Four-Door Car,Medsize,0,5
538,OQ61223,California,Yes,Basic,College,2011-02-28,Unemployed,M,Suburban,Divorced,Personal Auto,2,Offer1,Agent,Two-Door Car,Medsize,0,2
539,LL62746,Oregon,No,Basic,Doctor,2011-02-06,Medical Leave,M,Urban,Married,Personal Auto,1,Offer2,Call Center,SUV,Medsize,0,9
540,JQ56711,Oregon,No,Basic,Master,2011-02-02,Employed,F,Rural,Married,Personal Auto,3,Offer3,Web,Two-Door Car,Medsize,0,6
541,AW77988,Oregon,No,Basic,High School or Below,2011-01-06,Disabled,M,Suburban,Single,Personal Auto,1,Offer1,Web,Luxury Car,Medsize,0,2
542,HF75891,Washington,No,Basic,High School or Below,2011-02-11,Employed,F,Suburban,Married,Personal Auto,2,Offer1,Branch,SUV,Medsize,0,1
543,MY97912,Arizona,No,Extended,College,2011-01-13,Unemployed,M,Suburban,Divorced,Personal Auto,3,Offer1,Call Center,SUV,Medsize,0,2
544,IB87349,California,No,Premium,High School or Below,2011-02-25,Employed,M,Suburban,Married,Special Auto,2,Offer1,Agent,Four-Door Car,Small,0,1
545,AW73065,Oregon,No,Basic,High School or Below,2011-02-06,Unemployed,F,Suburban,Single,Personal Auto,1,Offer1,Agent,Four-Door Car,Small,0,1
546,HI74419,Washington,Yes,Basic,College,2011-02-05,Employed,M,Urban,Married,Personal Auto,2,Offer1,Agent,SUV,Medsize,0,3
547,PX70175,Arizona,No,Extended,College,2011-01-19,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Web,Four-Door Car,Medsize,0,5
548,KF75098,Arizona,No,Basic,Bachelor,2011-01-25,Employed,M,Suburban,Married,Personal Auto,3,Offer4,Agent,Four-Door Car,Small,2,4
549,IS50283,California,No,Basic,Bachelor,2011-01-17,Employed,F,Suburban,Married,Corporate Auto,3,Offer3,Agent,Four-Door Car,Medsize,0,4
550,MY64920,Oregon,No,Basic,College,2011-02-27,Employed,F,Suburban,Married,Personal Auto,2,Offer4,Web,SUV,Medsize,0,4
551,KN34250,Oregon,Yes,Extended,College,2011-02-14,Employed,F,Suburban,Married,Corporate Auto,2,Offer1,Branch,SUV,Medsize,0,3
552,GN46207,Oregon,Yes,Basic,Master,2011-01-17,Employed,F,Suburban,Single,Personal Auto,3,Offer2,Branch,SUV,Large,1,1
553,KL57176,Oregon,No,Basic,College,2011-02-15,Employed,F,Rural,Divorced,Personal Auto,3,Offer3,Web,SUV,Medsize,1,1
554,MN94234,California,No,Extended,High School or Below,2011-01-19,Unemployed,M,Suburban,Married,Personal Auto,3,Offer1,Branch,Two-Door Car,Medsize,4,1
555,JY90595,Arizona,No,Basic,High School or Below,2011-02-07,Medical Leave,M,Suburban,Married,Personal Auto,3,Offer1,Agent,Two-Door Car,Medsize,0,9
556,HK26543,California,No,Basic,High School or Below,2011-01-27,Employed,M,Suburban,Married,Personal Auto,3,Offer1,Branch,Four-Door Car,Medsize,1,8
557,PN86062,California,No,Extended,High School or Below,2011-01-09,Medical Leave,M,Suburban,Married,Corporate Auto,2,Offer1,Branch,Four-Door Car,Medsize,3,1
558,VW27730,California,No,Basic,Master,2011-02-08,Employed,F,Rural,Married,Corporate Auto,2,Offer1,Branch,SUV,Small,0,3
559,SH55671,Arizona,No,Premium,College,2011-02-06,Unemployed,F,Suburban,Married,Personal Auto,3,Offer1,Branch,Sports Car,Small,1,9
560,MO56878,California,No,Basic,Bachelor,2011-01-05,Employed,M,Suburban,Single,Corporate Auto,3,Offer2,Agent,SUV,Small,3,2
561,QP80741,Washington,No,Basic,College,2011-01-01,Unemployed,F,Suburban,Married,Corporate Auto,1,Offer3,Agent,Four-Door Car,Medsize,3,2
562,SV35618,Oregon,No,Premium,Bachelor,2011-02-28,Employed,F,Rural,Divorced,Personal Auto,2,Offer2,Agent,SUV,Small,1,1
563,RX12347,Nevada,No,Extended,College,2011-02-09,Employed,M,Suburban,Married,Personal Auto,2,Offer4,Branch,Four-Door Car,Medsize,0,1
